hidden_layers,neurons,activation,optimizer,avg_R2,avg_MAE,avg_MSE,avg_RMSE
2,64,relu,adam,0.8732195513549298,0.05713884242921685,0.005504768639136238,0.0740459909384228
2,64,relu,sgd,0.696677192226366,0.0915762772844145,0.013215002232997652,0.11490265813503982
2,64,relu,adagrad,0.4394746064247862,0.12395502825234869,0.02416467395594296,0.1543415503729857
2,64,leaky_relu,adam,0.8605765944644134,0.06023442241143352,0.006046863854388931,0.07768323579918313
2,64,leaky_relu,sgd,0.7082180177007678,0.0882549244025478,0.012641917903488096,0.11228967871112286
2,64,leaky_relu,adagrad,0.5301955645853426,0.1155268440990056,0.020340815627124014,0.14205045195253882
2,64,sigmoid,adam,0.6003415278857214,0.1033045713523294,0.017125963248969086,0.12945705402800892
2,64,sigmoid,sgd,-0.007081745490767654,0.17027374956256355,0.04419374847805873,0.21001075038020947
2,64,sigmoid,adagrad,0.037043481677137335,0.16601825333737602,0.042221689671301924,0.20531702475669977
2,64,tanh,adam,0.7301402484920129,0.08501556792573683,0.011832537264139473,0.1084956218826774
2,64,tanh,sgd,0.7230478909666729,0.08610967891362468,0.012139792704843692,0.10992188960684915
2,64,tanh,adagrad,0.7038959279711977,0.08960824973469417,0.012925746718437412,0.11358697227443952
2,128,relu,adam,0.8808512319048786,0.05489290190183719,0.005173192817345543,0.07183669566218791
2,128,relu,sgd,0.7233322623255436,0.08556735110430225,0.012007070606551993,0.10940633657113244
2,128,relu,adagrad,0.5648764641268644,0.10974514020562096,0.018856478706059613,0.1365462104740285
2,128,leaky_relu,adam,0.877318600934051,0.05541604684970416,0.005339931807523577,0.0729415561837171
2,128,leaky_relu,sgd,0.7319944997124063,0.08306936379779226,0.011664914308851509,0.10789579908575582
2,128,leaky_relu,adagrad,0.61242697523785,0.10195586324357828,0.01673095288319092,0.12875790622878713
2,128,sigmoid,adam,0.6686295583563956,0.0952027006520796,0.014436560986989191,0.11997793512198096
2,128,sigmoid,sgd,-0.05163963378634553,0.17191099597239265,0.04601729084797516,0.2143915860423545
2,128,sigmoid,adagrad,0.007780348695208428,0.1688825238135937,0.043499422880914594,0.2084063630220543
2,128,tanh,adam,0.7493439257385915,0.08136399858969137,0.010986131344153941,0.10444697425460928
